datetime,open,high,low,close,volume
2025-10-16 19:00:00,1.16518,1.16637,1.16463,1.1654,0
2025-10-16 23:00:00,1.16537,1.16779,1.16489,1.16644,0
2025-10-17 03:00:00,1.16643,1.16941,1.16642,1.16889,0
2025-10-17 07:00:00,1.16888,1.17027,1.16848,1.17027,0
2025-10-17 11:00:00,1.16992,1.17121,1.16951,1.17088,0
2025-10-17 15:00:00,1.17094,1.17283,1.16943,1.17116,0
2025-10-17 19:00:00,1.17121,1.1716,1.16803,1.16849,0
2025-10-17 23:00:00,1.16853,1.16862,1.16568,1.16734,0
2025-10-18 03:00:00,1.16731,1.16822,1.16638,1.16706,0
2025-10-18 07:00:00,1.16727,1.16727,1.16489,1.16508,0
2025-10-20 07:00:00,1.16566,1.16645,1.1653,1.16618,0
2025-10-20 11:00:00,1.16581,1.16706,1.16566,1.16682,0
2025-10-20 15:00:00,1.16682,1.16754,1.16537,1.16624,0
2025-10-20 19:00:00,1.16623,1.16676,1.16444,1.16565,0
2025-10-20 23:00:00,1.1657,1.16644,1.16463,1.1655,0
2025-10-21 03:00:00,1.16551,1.1658,1.16384,1.16409,0
2025-10-21 07:00:00,1.1641,1.16509,1.16403,1.16469,0
2025-10-21 11:00:00,1.16438,1.16551,1.16327,1.16345,0
2025-10-21 15:00:00,1.16345,1.16371,1.16187,1.16254,0
2025-10-21 19:00:00,1.16243,1.16274,1.16066,1.16128,0
2025-10-21 23:00:00,1.16138,1.16179,1.15977,1.16151,0
2025-10-22 03:00:00,1.16152,1.16242,1.16,1.16006,0
2025-10-22 07:00:00,1.16009,1.16104,1.1599,1.16036,0
2025-10-22 11:00:00,1.16001,1.16108,1.15997,1.16077,0
2025-10-22 15:00:00,1.16068,1.16156,1.15996,1.16006,0
2025-10-22 19:00:00,1.16003,1.16019,1.15825,1.15825,0
2025-10-22 23:00:00,1.15824,1.16198,1.15769,1.16144,0
2025-10-23 03:00:00,1.16158,1.16222,1.16047,1.16058,0
2025-10-23 07:00:00,1.16059,1.16184,1.16058,1.16104,0
2025-10-23 11:00:00,1.16068,1.16072,1.1592,1.15923,0
2025-10-23 15:00:00,1.15926,1.16038,1.15907,1.16,0
2025-10-23 19:00:00,1.15999,1.16059,1.15854,1.1587,0
2025-10-23 23:00:00,1.15872,1.16225,1.15866,1.16144,0
2025-10-24 03:00:00,1.16171,1.16195,1.1605,1.16158,0
2025-10-24 07:00:00,1.16167,1.16219,1.16138,1.16169,0
2025-10-24 11:00:00,1.16169,1.16216,1.16074,1.16094,0
2025-10-24 15:00:00,1.16092,1.16274,1.16015,1.16186,0
2025-10-24 19:00:00,1.16187,1.16217,1.16054,1.16153,0
2025-10-24 23:00:00,1.16162,1.16475,1.16098,1.16256,0
2025-10-25 03:00:00,1.16256,1.16329,1.16216,1.16321,0
2025-10-25 07:00:00,1.16314,1.16355,1.16215,1.16246,0
2025-10-27 07:00:00,1.16308,1.16356,1.16261,1.16316,0
2025-10-27 11:00:00,1.16307,1.16478,1.16273,1.16278,0
2025-10-27 15:00:00,1.16282,1.16322,1.16204,1.16206,0
2025-10-27 19:00:00,1.1619,1.1647,1.1618,1.16457,0
2025-10-27 23:00:00,1.16457,1.16517,1.16324,1.16358,0
2025-10-28 03:00:00,1.16356,1.16514,1.16332,1.16473,0
2025-10-28 07:00:00,1.16471,1.16547,1.16437,1.16515,0
2025-10-28 11:00:00,1.16515,1.16637,1.16467,1.16603,0
2025-10-28 15:00:00,1.16603,1.16679,1.16512,1.16546,0
2025-10-28 19:00:00,1.16539,1.16647,1.16468,1.16583,0
2025-10-28 23:00:00,1.16589,1.16667,1.1626,1.16589,0
2025-10-29 03:00:00,1.16589,1.16681,1.16521,1.16521,0
2025-10-29 07:00:00,1.16521,1.16575,1.16486,1.16568,0
2025-10-29 11:00:00,1.16566,1.16603,1.16373,1.16376,0
2025-10-29 15:00:00,1.16374,1.16378,1.16254,1.16325,0
2025-10-29 19:00:00,1.16323,1.1649,1.1619,1.164,0
2025-10-29 23:00:00,1.16399,1.16644,1.16277,1.16634,0
2025-10-30 03:00:00,1.16633,1.16651,1.15782,1.15992,0
2025-10-30 07:00:00,1.15997,1.16067,1.15913,1.16027,0
2025-10-30 11:00:00,1.16025,1.16198,1.15976,1.16152,0
2025-10-30 15:00:00,1.16153,1.16345,1.16098,1.16176,0
2025-10-30 19:00:00,1.16196,1.16281,1.15969,1.15979,0
2025-10-30 23:00:00,1.15979,1.15993,1.15474,1.15643,0
2025-10-31 03:00:00,1.1564,1.15714,1.15598,1.15648,0
2025-10-31 07:00:00,1.15648,1.15735,1.15642,1.15724,0
2025-10-31 11:00:00,1.15725,1.15774,1.15655,1.1567,0
2025-10-31 15:00:00,1.15668,1.15735,1.15553,1.15647,0
2025-10-31 19:00:00,1.15644,1.15765,1.15585,1.15671,0
2025-10-31 23:00:00,1.15667,1.15667,1.15226,1.15403,0
2025-11-01 03:00:00,1.15409,1.15434,1.15219,1.15248,0
2025-11-01 07:00:00,1.15268,1.15392,1.15252,1.1535,0
2025-11-03 07:00:00,1.15301,1.15384,1.1526,1.15274,0
2025-11-03 11:00:00,1.15292,1.15343,1.15223,1.15343,0
2025-11-03 15:00:00,1.15341,1.15415,1.15318,1.154,0
2025-11-03 19:00:00,1.15392,1.15399,1.15078,1.15156,0
2025-11-03 23:00:00,1.15152,1.15219,1.15051,1.15118,0
2025-11-04 03:00:00,1.1527,1.15376,1.1517,1.15192,0
2025-11-04 07:00:00,1.15197,1.15229,1.15168,1.15187,0
2025-11-04 11:00:00,1.15157,1.15175,1.14983,1.1513,0
2025-11-04 15:00:00,1.15131,1.15333,1.15079,1.15272,0
2025-11-04 19:00:00,1.15272,1.1529,1.14895,1.14897,0
2025-11-04 23:00:00,1.14901,1.14966,1.14729,1.14912,0
2025-11-05 03:00:00,1.14915,1.14963,1.14786,1.1479,0
2025-11-05 07:00:00,1.14783,1.14861,1.14753,1.1485,0
2025-11-05 11:00:00,1.14849,1.14978,1.148,1.14884,0
2025-11-05 15:00:00,1.14888,1.14946,1.14834,1.14878,0
2025-11-05 19:00:00,1.1487,1.14956,1.1476,1.14882,0
2025-11-05 23:00:00,1.14884,1.14932,1.14689,1.14796,0
2025-11-06 03:00:00,1.14797,1.14871,1.14712,1.14857,0
2025-11-06 07:00:00,1.14863,1.14969,1.14861,1.14957,0
2025-11-06 11:00:00,1.1494,1.15091,1.1493,1.15066,0
2025-11-06 15:00:00,1.15071,1.15138,1.15036,1.1508,0
2025-11-06 19:00:00,1.15093,1.15232,1.15061,1.152,0
2025-11-06 23:00:00,1.152,1.1544,1.15142,1.15393,0
2025-11-07 03:00:00,1.15393,1.15524,1.15314,1.15446,0
2025-11-07 07:00:00,1.15446,1.1554,1.15427,1.15484,0
2025-11-07 11:00:00,1.15484,1.15484,1.15349,1.15383,0
2025-11-07 15:00:00,1.15384,1.15385,1.153,1.15323,0
2025-11-07 19:00:00,1.15324,1.15609,1.15295,1.15583,0
2025-11-07 23:00:00,1.15563,1.15912,1.15541,1.15719,0
2025-11-08 03:00:00,1.15716,1.15831,1.1556,1.15592,0
2025-11-08 07:00:00,1.15602,1.15672,1.1558,1.15661,0
2025-11-10 07:00:00,1.15582,1.156,1.15423,1.15439,0
2025-11-10 11:00:00,1.15439,1.15609,1.15437,1.15549,0
2025-11-10 15:00:00,1.15552,1.15715,1.15521,1.15678,0
2025-11-10 19:00:00,1.15675,1.1583,1.15541,1.15636,0
2025-11-10 23:00:00,1.15633,1.15776,1.15454,1.15457,0
2025-11-11 03:00:00,1.15457,1.15646,1.15409,1.15612,0
2025-11-11 07:00:00,1.15613,1.15648,1.15552,1.15571,0
2025-11-11 11:00:00,1.1557,1.15596,1.15468,1.15566,0
2025-11-11 15:00:00,1.15562,1.1565,1.15501,1.15596,0
2025-11-11 19:00:00,1.15607,1.15779,1.15542,1.15718,0
2025-11-11 23:00:00,1.15718,1.1605,1.15694,1.15949,0
2025-11-12 03:00:00,1.15943,1.15999,1.1584,1.15843,0
2025-11-12 07:00:00,1.15853,1.15892,1.15817,1.15872,0
2025-11-12 11:00:00,1.15868,1.15871,1.15749,1.15779,0
2025-11-12 15:00:00,1.15779,1.15887,1.15705,1.15827,0
2025-11-12 19:00:00,1.1583,1.15878,1.15656,1.15776,0
2025-11-12 23:00:00,1.15777,1.15952,1.15634,1.15945,0
2025-11-13 03:00:00,1.15935,1.15982,1.15847,1.15867,0
2025-11-13 07:00:00,1.15861,1.15942,1.1585,1.15922,0
2025-11-13 11:00:00,1.15923,1.15926,1.15793,1.15901,0
2025-11-13 15:00:00,1.15901,1.16121,1.15806,1.16111,0
2025-11-13 19:00:00,1.16108,1.16347,1.16056,1.16073,0
2025-11-13 23:00:00,1.16082,1.16427,1.16067,1.16389,0
2025-11-14 03:00:00,1.16387,1.16553,1.16352,1.16356,0
2025-11-14 07:00:00,1.16352,1.16393,1.16231,1.163,0
2025-11-14 11:00:00,1.16296,1.16446,1.1627,1.16383,0
2025-11-14 15:00:00,1.16383,1.16488,1.16329,1.16331,0
2025-11-14 19:00:00,1.16328,1.16373,1.1609,1.16194,0
2025-11-14 23:00:00,1.162,1.16536,1.16068,1.16128,0
2025-11-15 03:00:00,1.16132,1.16224,1.16078,1.16183,0
2025-11-15 07:00:00,1.16183,1.16239,1.16154,1.16154,0
2025-11-17 07:00:00,1.1621,1.1625,1.1612,1.16151,0
2025-11-17 11:00:00,1.16146,1.16149,1.15965,1.15987,0
2025-11-17 15:00:00,1.15989,1.16148,1.15954,1.16124,0
2025-11-17 19:00:00,1.16138,1.16152,1.15952,1.16013,0
2025-11-17 23:00:00,1.16013,1.16046,1.1582,1.15972,0
2025-11-18 03:00:00,1.15973,1.16017,1.15838,1.15843,0
2025-11-18 07:00:00,1.1584,1.15936,1.1583,1.15896,0
2025-11-18 11:00:00,1.1589,1.15959,1.15846,1.15922,0
2025-11-18 15:00:00,1.15922,1.16034,1.15888,1.15915,0
2025-11-18 19:00:00,1.15915,1.16061,1.158,1.15847,0
2025-11-18 23:00:00,1.15844,1.16081,1.1582,1.15823,0
2025-11-19 03:00:00,1.15823,1.15871,1.15718,1.15861,0
2025-11-19 07:00:00,1.15857,1.1587,1.15773,1.15803,0
2025-11-19 11:00:00,1.15802,1.15875,1.15734,1.15861,0
2025-11-19 15:00:00,1.15875,1.15969,1.15785,1.15804,0
2025-11-19 19:00:00,1.1583,1.1589,1.15661,1.15861,0
2025-11-19 23:00:00,1.15873,1.15905,1.15407,1.15471,0
2025-11-20 03:00:00,1.15467,1.15471,1.15189,1.1521,0
2025-11-20 07:00:00,1.15212,1.15422,1.15207,1.15395,0
2025-11-20 11:00:00,1.15394,1.15394,1.15107,1.15138,0
2025-11-20 15:00:00,1.15139,1.15236,1.15128,1.152,0
2025-11-20 19:00:00,1.15203,1.15294,1.15125,1.15148,0
2025-11-20 23:00:00,1.15145,1.15495,1.15078,1.15271,0
2025-11-21 03:00:00,1.15274,1.15409,1.15249,1.15376,0
2025-11-21 07:00:00,1.15379,1.1538,1.15239,1.15337,0
2025-11-21 11:00:00,1.15333,1.15387,1.1528,1.15363,0
2025-11-21 15:00:00,1.15363,1.15475,1.15346,1.1541,0
2025-11-21 19:00:00,1.15412,1.1552,1.15052,1.15064,0
2025-11-21 23:00:00,1.15047,1.15274,1.14977,1.15033,0
2025-11-22 03:00:00,1.15034,1.15176,1.14912,1.15139,0
2025-11-22 07:00:00,1.15133,1.1521,1.15095,1.15125,0
2025-11-24 07:00:00,1.15121,1.15153,1.1506,1.15074,0
2025-11-24 11:00:00,1.15074,1.1519,1.15024,1.15163,0
2025-11-24 15:00:00,1.15166,1.15281,1.15115,1.15118,0
2025-11-24 19:00:00,1.15112,1.15467,1.15102,1.15449,0
2025-11-24 23:00:00,1.15451,1.15498,1.15177,1.15288,0
2025-11-25 03:00:00,1.15287,1.15308,1.15123,1.15276,0
2025-11-25 07:00:00,1.15274,1.15283,1.15191,1.15197,0
2025-11-25 11:00:00,1.15197,1.15304,1.15174,1.15178,0
2025-11-25 15:00:00,1.15179,1.153,1.1512,1.15204,0
2025-11-25 19:00:00,1.15205,1.15413,1.15204,1.15261,0
2025-11-25 23:00:00,1.1526,1.15842,1.1526,1.15641,0
2025-11-26 03:00:00,1.1564,1.15855,1.15512,1.15851,0
2025-11-26 07:00:00,1.15849,1.15853,1.15596,1.1565,0
2025-11-26 11:00:00,1.1565,1.15919,1.1564,1.1591,0
2025-11-26 15:00:00,1.15911,1.15968,1.15768,1.15788,0
2025-11-26 19:00:00,1.15788,1.15806,1.15669,1.15747,0
2025-11-26 23:00:00,1.15745,1.15945,1.15495,1.1588,0
2025-11-27 03:00:00,1.15873,1.16006,1.15857,1.1594,0
2025-11-27 07:00:00,1.15937,1.16038,1.15888,1.1602,0
2025-11-27 11:00:00,1.1602,1.16136,1.16003,1.16032,0
2025-11-27 15:00:00,1.16031,1.16065,1.1586,1.15913,0
2025-11-27 19:00:00,1.15913,1.15959,1.15768,1.15865,0
2025-11-27 23:00:00,1.15863,1.15998,1.15818,1.15949,0
2025-11-28 03:00:00,1.15947,1.16008,1.15917,1.15958,0
2025-11-28 07:00:00,1.15956,1.1602,1.15947,1.15998,0
2025-11-28 11:00:00,1.15998,1.16023,1.15814,1.15878,0
2025-11-28 15:00:00,1.15878,1.15919,1.15789,1.15794,0
2025-11-28 19:00:00,1.15794,1.158,1.15554,1.15681,0
2025-11-28 23:00:00,1.1568,1.16082,1.15624,1.1605,0
2025-11-29 03:00:00,1.16044,1.16066,1.15935,1.16032,0
2025-11-29 07:00:00,1.1603,1.16048,1.1598,1.15993,0
2025-12-01 07:00:00,1.15938,1.16074,1.15932,1.16013,0
2025-12-01 11:00:00,1.16013,1.16157,1.15903,1.15965,0
2025-12-01 15:00:00,1.15966,1.1613,1.15914,1.16106,0
2025-12-01 19:00:00,1.16105,1.16319,1.16043,1.16278,0
2025-12-01 23:00:00,1.16275,1.16519,1.16232,1.16305,0
2025-12-02 03:00:00,1.16302,1.1634,1.16078,1.16087,0
2025-12-02 07:00:00,1.16086,1.16134,1.1607,1.16073,0
2025-12-02 11:00:00,1.16073,1.16128,1.16039,1.16121,0
2025-12-02 15:00:00,1.16122,1.16165,1.16048,1.16131,0
2025-12-02 19:00:00,1.1613,1.1616,1.15996,1.16127,0
2025-12-02 23:00:00,1.16125,1.1623,1.15956,1.16062,0
2025-12-03 03:00:00,1.16058,1.16239,1.15931,1.16239,0
2025-12-03 07:00:00,1.16238,1.16294,1.16197,1.16277,0
2025-12-03 11:00:00,1.16278,1.16395,1.16277,1.16379,0
2025-12-03 15:00:00,1.1638,1.16529,1.16365,1.1641,0
2025-12-03 19:00:00,1.16409,1.16665,1.16371,1.16659,0
2025-12-03 23:00:00,1.16656,1.16753,1.16561,1.1662,0
2025-12-04 03:00:00,1.16618,1.16781,1.16579,1.16739,0
2025-12-04 07:00:00,1.16738,1.16756,1.16641,1.16669,0
2025-12-04 11:00:00,1.16668,1.16669,1.16534,1.16563,0
2025-12-04 15:00:00,1.16563,1.1665,1.16532,1.16649,0
2025-12-04 19:00:00,1.16648,1.16825,1.1664,1.16805,0
2025-12-04 23:00:00,1.16803,1.1681,1.1651,1.16732,0
2025-12-05 03:00:00,1.1673,1.16749,1.16509,1.16528,0
2025-12-05 07:00:00,1.16528,1.16529,1.16414,1.1643,0
2025-12-05 11:00:00,1.16432,1.16552,1.16429,1.16492,0
2025-12-05 15:00:00,1.16492,1.16717,1.1649,1.16636,0
2025-12-05 19:00:00,1.16634,1.16647,1.16426,1.16464,0
2025-12-05 23:00:00,1.1646,1.16591,1.16431,1.16476,0
2025-12-06 03:00:00,1.16473,1.16491,1.16297,1.16435,0
2025-12-06 07:00:00,1.16435,1.16481,1.16398,1.16431,0
2025-12-08 07:00:00,1.1641,1.16471,1.16394,1.16401,0
2025-12-08 11:00:00,1.16403,1.16557,1.16401,1.16506,0
2025-12-08 15:00:00,1.16505,1.16731,1.16502,1.16602,0
2025-12-08 19:00:00,1.166,1.16629,1.16483,1.16523,0
2025-12-08 23:00:00,1.16522,1.16565,1.16186,1.16248,0
2025-12-09 03:00:00,1.16246,1.16421,1.16171,1.16398,0
2025-12-09 07:00:00,1.16398,1.16417,1.1634,1.16407,0
2025-12-09 11:00:00,1.16408,1.16489,1.16368,1.16464,0
2025-12-09 15:00:00,1.16463,1.16504,1.16388,1.1641,0
2025-12-09 19:00:00,1.16408,1.16575,1.16333,1.16444,0
2025-12-09 23:00:00,1.16442,1.16446,1.16165,1.16285,0
2025-12-10 03:00:00,1.16283,1.16404,1.1618,1.1628,0
2025-12-10 07:00:00,1.16281,1.16324,1.16249,1.16279,0
2025-12-10 11:00:00,1.1628,1.16292,1.16226,1.16265,0
2025-12-10 15:00:00,1.16265,1.16501,1.16254,1.16492,0
2025-12-10 19:00:00,1.16492,1.16572,1.16281,1.16357,0
2025-12-10 23:00:00,1.16354,1.16508,1.16271,1.16422,0
2025-12-11 03:00:00,1.1642,1.16818,1.16374,1.16791,0
2025-12-11 07:00:00,1.16789,1.17032,1.16764,1.17014,0
2025-12-11 11:00:00,1.17015,1.17071,1.1691,1.16921,0
2025-12-11 15:00:00,1.16919,1.17002,1.16831,1.16944,0
2025-12-11 19:00:00,1.16942,1.17176,1.16879,1.17141,0
2025-12-11 23:00:00,1.1714,1.1757,1.17099,1.1757,0
2025-12-12 03:00:00,1.17569,1.17625,1.17407,1.17413,0
2025-12-12 07:00:00,1.17413,1.17458,1.17363,1.17402,0
2025-12-12 11:00:00,1.17405,1.17463,1.17317,1.17351,0
2025-12-12 15:00:00,1.1735,1.1743,1.17318,1.17382,0
2025-12-12 19:00:00,1.17379,1.17432,1.1723,1.17272,0
2025-12-12 23:00:00,1.17271,1.1745,1.17193,1.17379,0
2025-12-13 03:00:00,1.17378,1.17502,1.17269,1.17408,0
2025-12-13 07:00:00,1.1741,1.17468,1.17386,1.17402,0
2025-12-15 07:00:00,1.17387,1.17407,1.17354,1.17373,0
2025-12-15 11:00:00,1.17372,1.17453,1.17288,1.17348,0
2025-12-15 15:00:00,1.17346,1.1738,1.1729,1.17293,0
2025-12-15 19:00:00,1.1729,1.17506,1.1728,1.17495,0
2025-12-15 23:00:00,1.17493,1.17691,1.17437,1.17628,0
2025-12-16 03:00:00,1.17628,1.1764,1.17387,1.17496,0
2025-12-16 07:00:00,1.17496,1.17562,1.17476,1.17543,0
2025-12-16 11:00:00,1.17543,1.17594,1.17474,1.1752,0
2025-12-16 15:00:00,1.17519,1.17542,1.17456,1.17509,0
2025-12-16 19:00:00,1.17503,1.17637,1.17478,1.17628,0
2025-12-16 23:00:00,1.17625,1.18017,1.17594,1.17707,0
2025-12-17 03:00:00,1.17707,1.17791,1.17363,1.1758,0
2025-12-17 07:00:00,1.17582,1.17631,1.17468,1.17493,0
2025-12-17 11:00:00,1.17493,1.17526,1.17373,1.17391,0
2025-12-17 15:00:00,1.17389,1.17395,1.17046,1.17132,0
2025-12-17 19:00:00,1.17127,1.17274,1.17068,1.171,0
2025-12-17 23:00:00,1.17099,1.17573,1.17096,1.17535,0
2025-12-18 03:00:00,1.17535,1.17559,1.17418,1.17447,0
2025-12-18 07:00:00,1.17449,1.17466,1.17391,1.17421,0
2025-12-18 11:00:00,1.17421,1.1746,1.17355,1.17398,0
2025-12-18 15:00:00,1.17396,1.17496,1.17332,1.17351,0
2025-12-18 19:00:00,1.17349,1.1737,1.17185,1.17216,0
2025-12-18 23:00:00,1.17215,1.17596,1.17137,1.17274,0
2025-12-19 03:00:00,1.17274,1.17454,1.17155,1.17248,0
2025-12-19 07:00:00,1.17249,1.17281,1.17205,1.17254,0
2025-12-19 11:00:00,1.17254,1.17288,1.17186,1.17214,0
2025-12-19 15:00:00,1.17212,1.17224,1.1705,1.17067,0
2025-12-19 19:00:00,1.17062,1.17178,1.17062,1.17126,0
2025-12-19 23:00:00,1.17126,1.17382,1.17041,1.17105,0
2025-12-20 03:00:00,1.17105,1.17276,1.17091,1.17236,0
2025-12-20 07:00:00,1.17238,1.17258,1.17072,1.17091,0
2025-12-22 07:00:00,1.17175,1.17219,1.17069,1.17102,0
2025-12-22 11:00:00,1.17101,1.17199,1.17101,1.17181,0
2025-12-22 15:00:00,1.17179,1.17307,1.17133,1.17301,0
2025-12-22 19:00:00,1.17299,1.17391,1.17244,1.17334,0
2025-12-22 23:00:00,1.17332,1.17688,1.17332,1.17646,0
2025-12-23 03:00:00,1.17646,1.17655,1.17486,1.17559,0
2025-12-23 07:00:00,1.17558,1.1766,1.17528,1.17652,0
2025-12-23 11:00:00,1.1765,1.17805,1.17639,1.17767,0
2025-12-23 15:00:00,1.17764,1.17808,1.17684,1.17802,0
2025-12-23 19:00:00,1.17802,1.18005,1.17767,1.17959,0
2025-12-23 23:00:00,1.17957,1.18021,1.17655,1.17697,0
2025-12-24 03:00:00,1.177,1.17914,1.17697,1.17908,0
2025-12-24 07:00:00,1.17908,1.17976,1.17879,1.17954,0
2025-12-24 11:00:00,1.17954,1.18082,1.17877,1.17882,0
2025-12-24 15:00:00,1.17879,1.18033,1.1787,1.17892,0
2025-12-24 19:00:00,1.17887,1.1801,1.17809,1.17933,0
2025-12-24 23:00:00,1.17933,1.17935,1.17849,1.17849,0
2025-12-25 23:00:00,1.17823,1.17907,1.17768,1.17829,0
2025-12-26 03:00:00,1.1783,1.17906,1.1779,1.17832,0
2025-12-26 07:00:00,1.17828,1.1792,1.17738,1.17845,0
2025-12-26 11:00:00,1.17843,1.17945,1.17777,1.17853,0
2025-12-26 15:00:00,1.17851,1.1788,1.17713,1.17729,0
2025-12-26 19:00:00,1.17727,1.17833,1.17674,1.17774,0
2025-12-26 23:00:00,1.17773,1.17965,1.17715,1.17779,0
2025-12-27 03:00:00,1.17779,1.17794,1.17623,1.17756,0
2025-12-27 07:00:00,1.17759,1.17817,1.1767,1.17718,0
2025-12-29 07:00:00,1.17695,1.1778,1.17692,1.17727,0
2025-12-29 11:00:00,1.17726,1.17867,1.17716,1.17743,0
2025-12-29 15:00:00,1.17741,1.17787,1.17541,1.17776,0
2025-12-29 19:00:00,1.17773,1.17887,1.17583,1.17672,0
2025-12-29 23:00:00,1.17672,1.17889,1.17571,1.17686,0
2025-12-30 03:00:00,1.17685,1.17686,1.17506,1.17674,0
2025-12-30 07:00:00,1.17675,1.17752,1.17653,1.17729,0
2025-12-30 11:00:00,1.17728,1.17768,1.17699,1.17733,0
2025-12-30 15:00:00,1.17731,1.17801,1.17671,1.17699,0
